218,170
236,185
215,191
233,207
252,222
256,199
259,175
240,165
264,154
281,169
287,145
305,161
279,192
303,184
297,207
274,213
271,236
267,260
263,284
260,307
256,330
255,351
241,291
237,315
219,299
216,322
197,309
223,277
244,268
249,244
485,229
12,157
16,133
20,111
22,87
3,71
26,61
48,53
50,29
54,2
75,21
70,42
67,65
45,76
40,103
36,128
58,118
63,92
81,112
84,87
89,60
91,36
113,26
96,9
116,3
137,19
158,8
175,25
443,375
465,367
463,392
457,416
439,401
436,422
431,446
428,469
452,461
474,454
496,447
517,439
541,432
562,423
584,416
149,506
130,491
125,515
146,530
168,519
170,500
190,511
193,488
174,473
152,481
132,465
157,455
179,447
159,434
180,424
199,439
197,462
214,478
218,455
238,471
235,496
256,485
261,464
263,439
241,449
465,211
462,234
482,251
502,243
506,220
487,206
512,196
530,213
525,236
549,227
572,220
575,199
553,204
557,182
534,191
454,438
475,432
499,424
478,406
482,384
502,400
522,415
524,394
543,407
547,383
567,398
570,376
589,390
506,376
486,360
510,352
530,344
530,367
550,360
571,352
596,345
592,367
553,337
575,329
598,320
448,485
470,479
492,470
515,461
537,457
561,448
581,437
579,463
556,470
535,477
532,503
226,253
231,229
208,238
211,214
203,260
202,289
234,336
153,32
132,43
109,51
511,485
137,440
8,181
4,202
22,216
1,227
21,243
16,263
12,289
8,312
5,336
23,350
3,358
19,373
0,381
15,398
16,425
10,445
8,465
4,490
1,515
20,530
16,554
13,575
9,593
5,618
24,633
47,625
65,639
68,617
89,629
109,622
130,638
152,633
174,623
193,637
255,635
237,622
214,628
275,628
301,621
318,634
343,628
364,622
383,636
405,628
428,623
445,635
468,629
493,619
512,636
534,633
556,623
576,637
596,629
600,606
603,585
586,570
590,547
607,561
589,525
595,500
600,478
602,455
605,430
606,408
575,486
554,493
571,511
550,516
570,532
567,556
564,577
560,600
580,614
537,609
540,586
543,562
546,541
526,524
523,548
519,570
518,592
514,613
490,494
509,508
504,530
487,519
467,500
501,555
499,575
496,599
451,611
473,606
28,611
31,590
50,601
25,194
30,172
35,148
602,297
607,274
586,258
590,236
594,213
596,192
601,167
602,145
606,120
587,105
592,80
595,57
598,32
601,8
579,17
556,22
577,40
537,5
515,15
494,22
475,5
452,17
430,24
412,7
408,29
388,13
578,174
568,243
546,252
565,268
583,283
580,307
556,312
559,290
540,276
521,261
500,270
518,284
537,298
534,321
513,328
515,305
496,292
493,314
492,337
583,128
580,152
535,30
553,45
573,65
366,22
348,6
325,15
302,23
283,7
261,15
243,0
220,6
199,15
92,610
73,597
53,582
35,567
107,79
131,68
153,58
174,51
195,41
218,32
239,26
259,42
281,34
298,48
321,39
344,31
363,47
386,37
404,56
427,46
449,37
470,32
490,47
513,39
532,55
550,73
571,87
567,113
562,136
558,157
537,165
515,173
491,182
467,189
447,197
444,219
438,245
460,260
477,276
473,299
471,319
467,345
444,351
423,360
420,383
415,406
412,431
409,453
406,480
426,494
444,508
463,524
484,540
479,562
477,583
454,591
431,598
410,606
386,615
367,599
344,605
322,614
304,598
280,607
258,616
239,601
218,608
195,615
177,599
155,608
132,615
112,600
95,585
77,571
57,559
38,544
43,522
23,506
24,483
29,460
33,435
35,413
39,387
43,365
44,342
25,326
29,304
34,281
38,257
41,232
43,209
47,186
52,164
55,142
136,594
140,573
143,551
123,538
121,557
118,577
159,585
161,567
165,542
187,534
209,526
232,517
252,513
276,504
279,478
283,454
285,431
267,414
244,422
221,431
203,415
183,398
161,407
140,417
119,424
115,449
112,472
108,496
106,519
104,543
100,564
253,376
234,358
212,342
194,330
274,369
175,313
179,296
181,273
184,249
189,222
192,199
196,177
200,156
221,148
245,139
267,129
289,122
308,137
327,153
325,178
319,198
316,221
294,230
289,255
286,276
283,298
279,322
276,345
250,404
270,391
230,385
226,409
206,391
210,366
188,376
192,351
170,336
168,359
165,384
94,456
70,467
48,475
52,452
90,479
45,497
68,488
88,504
63,511
83,526
63,536
80,550
