408.75,305
368.75,306.25
335,312.5
360,346.25
396.25,345
377.5,382.5
121.25,40
161.25,36.25
198.75,28.75
241.25,27.5
261.25,55
291.25,45
331.25,46.25
368.75,41.25
405,40
440,36.25
473.75,45
516.25,41.25
561.25,30
596.25,25
582.5,61.25
545,77.5
623.75,47.5
640,80
647.5,106.25
687.5,106.25
677.5,72.5
660,38.75
668.75,146.25
690,186.25
701.25,252.5
703.75,313.75
675,283.75
676.25,228.75
686.25,347.5
713.75,381.25
687.5,422.5
712.5,460
707.5,488.75
697.5,521.25
685,557.5
681.25,585
666.25,536.25
642.5,586.25
667.5,615
617.5,563.75
626.25,528.75
692.5,650
682.5,682.5
712.5,712.5
697.5,743.75
681.25,772.5
702.5,801.25
685,835
663.75,870
622.5,876.25
582.5,882.5
552.5,888.75
515,885
472.5,890
433.75,893.75
395,900
353.75,906.25
312.5,910
272.5,912.5
250,883.75
213.75,895
171.25,895
131.25,910
88.75,913.75
58.75,886.25
107.5,876.25
72.5,860
30,867.5
47.5,837.5
21.25,808.75
37.5,778.75
53.75,748.75
33.75,718.75
47.5,686.25
57.5,651.25
70,615
46.25,582.5
62.5,542.5
42.5,521.25
53.75,481.25
35,450
47.5,413.75
61.25,377.5
37.5,343.75
55,307.5
32.5,275
47.5,242.5
28.75,212.5
47.5,180
62.5,140
45,101.25
57.5,62.5
67.5,22.5
87.5,61.25
267.5,653.75
237.5,628.75
468.75,540
480,507.5
492.5,563.75
502.5,532.5
487.5,755
176.25,182.5
216.25,176.25
197.5,213.75
241.25,393.75
278.75,387.5
255,353.75
523.75,181.25
512.5,211.25
550,203.75
565,182.5
545,153.75
585,230
80,98.75
82.5,172.5
101.25,128.75
118.75,90
153.75,81.25
188.75,71.25
66.25,210
87.5,242.5
65,277.5
86.25,305
73.75,338.75
97.5,373.75
81.25,412.5
68.75,446.25
91.25,475
76.25,506.25
98.75,536.25
87.5,576.25
107.5,611.25
91.25,645
81.25,680
67.5,715
85,738.75
73.75,775
62.5,801.25
88.75,828.75
150,870
188.75,858.75
227.5,858.75
263.75,852.5
282.5,881.25
335,877.5
300,855
370,870
408.75,862.5
448.75,861.25
482.5,861.25
525,861.25
558.75,851.25
600,846.25
643.75,840
662.5,806.25
640,775
656.25,741.25
617.5,810
670,710
643.75,677.5
655,650
627.5,617.5
635,496.25
671.25,493.75
678.75,457.5
653.75,426.25
668.75,383.75
642.5,355
658.75,313.75
635,286.25
656.25,253.75
630,223.75
643.75,190
626.25,146.25
602.5,108.75
501.25,80
460,82.5
430,75
397.5,76.25
358.75,80
317.5,82.5
283.75,87.5
247.5,96.25
217.5,65
160,218.75
237.5,205
195,147.5
153.75,153.75
138.75,195
178.75,252.5
218.75,245
257.5,237.5
260,167.5
233.75,137.5
102.5,205
122.5,238.75
100,271.25
138.75,260
117.5,162.5
138.75,121.25
173.75,112.5
207.5,106.25
270,126.25
290,351.25
230,318.75
215,358.75
210,425
248.75,417.5
195,393.75
288.75,413.75
308.75,385
267.5,317.5
202.5,285
242.5,275
321.25,345
340,386.25
360,415
401.25,413.75
416.25,381.25
430,346.25
446.25,310
420,270
385,266.25
347.5,271.25
315,273.75
300,310
281.25,272.5
322.5,415
543.75,236.25
611.25,258.75
570,265
607.5,188.75
583.75,148.75
570,108.75
525,115
507.5,152.5
487.5,180
476.25,208.75
505,242.5
532.5,272.5
488.75,116.25
518.75,495
488.75,476.25
455,477.5
446.25,513.75
541.25,527.5
435,547.5
527.5,558.75
453.75,567.5
517.5,592.5
477.5,596.25
583.75,533.75
561.25,571.25
572.5,562.5
562.5,588.75
603.75,591.25
530,751.25
